Natural_language_description,Code1,Code2
add apt key microsoft packages,"deb [arch=amd64 signed-by=/usr/share/keyrings/packages.microsoft.gpg] https://packages.microsoft.com/repos/vscode stable main
",None
purge winehq ppa appears sources added,"sudo add-apt-repository --remove 'deb https://dl.winehq.org/wine-builds/ubuntu/ focal main' 
sudo apt update
",None
find ubuntu repo package belongs,"rmadison gcc
 gcc | 4:4.6.3-1ubuntu5   | precise         | amd64, armel, armhf, i386, powerpc
 gcc | 4:4.8.2-1ubuntu6   | trusty          | amd64, arm64, armhf, i386, powerpc, ppc64el
 gcc | 4:5.3.1-1ubuntu1   | xenial          | amd64, arm64, armhf, i386, powerpc, ppc64el, s390x
 gcc | 4:7.3.0-3ubuntu2   | bionic          | amd64, arm64, armhf, i386, ppc64el, s390x
 gcc | 4:7.4.0-1ubuntu2.3 | bionic-security | amd64, arm64, armhf, i386, ppc64el, s390x
 gcc | 4:7.4.0-1ubuntu2.3 | bionic-updates  | amd64, arm64, armhf, i386, ppc64el, s390x
 gcc | 4:8.3.0-1ubuntu3   | disco           | amd64, arm64, armhf, i386, ppc64el, s390x
 gcc | 4:9.2.1-3.1ubuntu1 | eoan            | amd64, arm64, armhf, i386, ppc64el, s390x
 gcc | 4:9.3.0-1ubuntu2   | focal           | amd64, arm64, armhf, i386, ppc64el, riscv64, s390x
 gcc | 4:9.3.0-1ubuntu2   | groovy          | amd64, arm64, armhf, i386, ppc64el, riscv64, s390x

or:
madison gcc-9
 gcc-9 | 9-20190402-1ubuntu1  | disco          | source, amd64, arm64, armhf, i386, ppc64el, s390x
 gcc-9 | 9.1.0-2ubuntu2~19.04 | disco-security | source, amd64, arm64, armhf, i386, ppc64el, s390x
 gcc-9 | 9.1.0-2ubuntu2~19.04 | disco-updates  | source, amd64, arm64, armhf, i386, ppc64el, s390x
 gcc-9 | 9.2.1-9ubuntu2       | eoan           | source, amd64, arm64, armhf, i386, ppc64el, s390x
 gcc-9 | 9.3.0-10ubuntu2      | focal          | source, amd64, arm64, armhf, i386, ppc64el, riscv64, s390x
 gcc-9 | 9.3.0-13ubuntu1      | groovy         | source, amd64, arm64, armhf, i386, ppc64el, riscv64, s390x
",None
list full dependency list package,"$ apt-rdepends ruby
ruby
  Depends: ruby2.7
ruby2.7
  Depends: libc6 (>= 2.4)
  Depends: libruby2.7 (>= 2.7.0~preview1)
  Depends: rubygems-integration (>= 1.8)
libc6
  Depends: libcrypt1
  Depends: libgcc-s1
libcrypt1
  Depends: libc6 (>= 2.25)
libgcc-s1
  Depends: gcc-10-base (= 10.2.0-6)
  Depends: libc6 (>= 2.14)
gcc-10-base
...
ca-certificates
  Depends: debconf (>= 0.5)
  Depends: debconf-2.0
  Depends: openssl (>= 1.1.1)
openssl
  Depends: libc6 (>= 2.15)
  Depends: libssl3 (>= 3.0.0~~alpha1)
libssl3
  Depends: debconf (>= 0.5)
  Depends: debconf-2.0
  Depends: libc6 (>= 2.25)
",None
repo package unavailable ubuntu install,sudo dpkg -i <filename>,"apt update
apt install gnupg python
"
libreoffice broken installation,"sudo apt-get -f install

sudo apt remove --purge libreoffice*

sudo apt remove --purge libobasis*

sudo apt autoremove

cd ~/Downloads

for x in *.tar.gz; do tar xfv $x; done

sudo dpkg -i LibreOffice_*/DEBS/*.deb
","sudo add-apt-repository ppa:libreoffice/libreoffice-7-0
sudo apt-get update
sudo apt-get install libreoffice
sudo apt-get dist-upgrade
"
properly install mongod due gpg error ubuntu,"apt-key adv --keyserver keyserver.ubuntu.com --recv-keys D68FA50FEA312927
",None
cant install remove anything cause dpkg error,"sudo -i
mkdir /tmp/dpkg
cd /tmp/dpkg
wget http://launchpadlibrarian.net/366329727/dpkg_1.19.0.5ubuntu2_amd64.deb
ar x dpkg*.deb data.tar.xz
tar xvf data.tar.xz ./usr/bin/dpkg
cp ./usr/bin/dpkg /usr/bin/
apt-get update
apt-get install --reinstall dpkg
",None
error upgrading grub efi amd signed special device old ssd exist,sudo apt upgrade,None
specify repository apt get pulls installing e g kdenlive,apt-cache policy kdenlive,None
check packages long list available,"apt-get install -s package1 package2
",None
missing letltxmacro sty latex texstudio installation,"sudo apt-get install texlive-latex-extra
",None
error package grub legacy installation candidate,"sudo apt install grub-pc
",None
apt update connect archive ubuntu com even forcing ipv clearing dns cache changing mirror,"#------------------------------------------------------------------------------#
#                            OFFICIAL UBUNTU REPOS                             #
#------------------------------------------------------------------------------#

##### Mirror
deb http://mirror.cse.iitk.ac.in/ubuntu/ bionic main 
deb-src http://mirror.cse.iitk.ac.in/ubuntu/ bionic main 

###### Ubuntu Main Repos
#deb http://in.archive.ubuntu.com/ubuntu/ bionic main restricted universe multiverse
#deb-src http://in.archive.ubuntu.com/ubuntu/ bionic main restricted universe multiverse

###### Ubuntu Update Repos
deb http://mirror.cse.iitk.ac.in/ubuntu/ bionic-security main restricted universe multiverse
deb http://mirror.cse.iitk.ac.in/ubuntu/ bionic-updates main restricted universe multiverse
deb-src http://mirror.cse.iitk.ac.in/ubuntu/ bionic-security main restricted universe multiverse
deb-src http://mirror.cse.iitk.ac.in/ubuntu/ bionic-updates main restricted universe multiverse
",None
unable install fahcontrol ubuntu,"cd ~/Downloads
wget -c http://archive.ubuntu.com/ubuntu/pool/universe/p/pygtk/python-
gtk2_2.24.0-6_amd64.deb
sudo apt-get install ./python-gtk2_2.24.0-6_amd64.deb 
",None
error apt upgrade help,"sudo dpkg --configure -a
",None
deleted etc mysql unable install uninstall software,"sudo mv /var/lib/dpkg/info/mysql-* /tmp
sudo apt-get autoremove

",None
install gtk widget factory via apt,"sudo apt install gtk-3-examples
",None
automatically find updates given ubuntu package given releases,"~$ rmadison libvips-tools
 libvips-tools | 7.26.3-1build1 | precise/universe | amd64, armel, armhf, i386, powerpc
 libvips-tools | 7.38.5-2       | trusty/universe  | amd64, arm64, armhf, i386, powerpc, ppc64el
 libvips-tools | 8.2.2-1        | xenial/universe  | amd64, arm64, armhf, i386, powerpc, ppc64el, s390x
 libvips-tools | 8.4.5-1build1  | bionic/universe  | amd64, arm64, armhf, i386, ppc64el, s390x
 libvips-tools | 8.9.1-2        | focal/universe   | amd64, arm64, armhf, ppc64el, riscv64, s390x
 libvips-tools | 8.10.2-1       | groovy/universe  | amd64, arm64, armhf, ppc64el, riscv64, s390x
",None
undo apt get install many dependencies,"sudo apt autoremove
sudo apt remove texlive-latex-base   
sudo apt remove maxima-sage maxima-sage-doc maxima-sage-share  
sudo apt remove octave  
sudo apt remove r-base-core  
sudo apt remove python-sympy python-scipy  
sudo apt remove python-flask python-flask-autoindex python-flask-babel python-flask-oldsessions python-flask-openid python-flask-silk    
sudo apt remove sagemath-database-conway-polynomials sagemath-database-elliptic-curves sagemath-database-graphs sagemath-database-mutually-combinatorial-designs sagemath-database-polytopes sagemath-doc-en sagemath-jupyter sagetex  
sudo apt remove sagemath # maybe you'll also have to run 'sudo dpkg --configure -a' to correct the problem
sudo apt autoremove
",None
effect unattended upgrade devrelease auto,"if apt_pkg.config.find(""Unattended-Upgrade::DevRelease"") == ""auto"":
    # snip
        if ((devel.series == DISTRO_CODENAME
             and devel.release is not None
             and devel.release - date.today() > DEVEL_UNTIL_RELEASE)):
            syslog.syslog((_(""Not running on this development ""
                             ""release before %s"") %
                          (devel.release - DEVEL_UNTIL_RELEASE
                           - datetime.timedelta(days=1))))
            logging.warning(_(""Not running on this development ""
                              ""release before %s"") %
                            (devel.release - DEVEL_UNTIL_RELEASE
                             - datetime.timedelta(days=1)))
            return UnattendedUpgradesResult(True)

            logging.debug(""Running on the development release"")
elif ""(development branch)"" in DISTRO_DESC and not\
        apt_pkg.config.find_b(""Unattended-Upgrade::DevRelease"", True):
    syslog.syslog(_(""Not running on the development release.""))
    logging.info(_(""Not running on the development release.""))
    return UnattendedUpgradesResult(True)
",None
ubuntu software update crashes,"sudo apt-get install --reinstall dbus python-dbus python3-dbus
",None
old nodejs version installed ubuntu machine,"curl -sL https://deb.nodesource.com/setup_14.x | sudo -E bash -
sudo apt-get install -y nodejs
",None
purge purge,"sudo apt remove --purge --auto-remove mysql-server
",None
completely remove kvantum manager,sudo apt remove qt5-style-kvantum qt5-style-kvantum-themes,None
acpi call dkms install fails latest mainline kernel,tlp-stat -b,None
install emma ubuntu,"mkdir -p ~/Downloads/emma
cd ~/Downloads/emma

wget http://archive.ubuntu.com/ubuntu/pool/universe/p/pygtk/python-gtk2_2.24.0-5.1ubuntu2_amd64.deb
wget http://archive.ubuntu.com/ubuntu/pool/universe/p/pygtk/python-glade2_2.24.0-5.1ubuntu2_amd64.deb
wget http://archive.ubuntu.com/ubuntu/pool/main/p/python-mysqldb/python-mysqldb_1.3.10-1build1_amd64.deb
wget http://security.ubuntu.com/ubuntu/pool/main/m/mysql-5.7/libmysqlclient20_5.7.31-0ubuntu0.18.04.1_amd64.deb
wget http://archive.ubuntu.com/ubuntu/pool/universe/e/emma/emma_0.6-5_all.deb

sudo apt-get install ./*.deb
",None
reinstallation ubuntu wsl python pip installation issues,PING google.com(2404:6800:4003:c03::8a (2404:6800:4003:c03::8a)) 56 data bytes,None
delete qgis librarys manually install order install qgis,"sudo apt install --reinstall <package_name>
// or //
sudo apt remove --force <package_name>
",None
exclude package apt fix broken install redux,"cd Desktop
mkdir working-dir
cd working-dir
cp ~/Downloads/PacketTracer_730_amd64.deb .
ls
wget http://ftp.br.debian.org/debian/pool/main/d/double-conversion/libdouble-conversion1_3.1.0-3_amd64.deb http://archive.ubuntu.com/ubuntu/pool/main/libj/libjpeg-turbo/libjpeg-turbo8_2.0.3-0ubuntu1_amd64.deb http://archive.ubuntu.com/ubuntu/pool/main/libj/libjpeg8-empty/libjpeg8_8c-2ubuntu8_amd64.deb
ls -l
chmod +x *
ls -l
sudo dpkg -i *
sudo featherpad /var/lib/dpkg/status #featherpad here, is my text editor
    #ctrl+f (search) > Depends: libdouble-conversion1, qt-at-spi > (delete-this-line) > save & close
sudo apt --fix-broken install
packettracer
",None
handle error dpkg repack,"for package_name in $(cat list.txt); do dpkg-repack $package_name; done;
",None
ubuntu wine various workarounds work,"sudo apt-add-repository -r 'deb https://dl.winehq.org/wine-builds/ubuntu/ eoan main' 

sudo apt-get install ppa-purge
sudo ppa-purge ppa:ricotz/unstable
",None
ubuntu install nginx,"apt install libnginx-mod-http-geoip
",None
got error installing wine,df -h,None
need try install specific package version however apt cache madison apt cache policy seem list latest version,"$ rmadison -u ubuntu rdiff-backup
 rdiff-backup | 1.2.8-7 | precise/universe | source, amd64, armel, armhf, i386, powerpc
 rdiff-backup | 1.2.8-7 | trusty/universe  | source, amd64, arm64, armhf, i386, powerpc, ppc64el
 rdiff-backup | 1.2.8-7 | xenial/universe  | source, amd64, arm64, armhf, i386, powerpc, ppc64el, s390x
 rdiff-backup | 1.2.8-7 | bionic/universe  | source, amd64, arm64, armhf, i386, ppc64el, s390x
 rdiff-backup | 2.0.0-1 | focal/universe   | source, amd64, arm64, armhf, ppc64el, riscv64, s390x
 rdiff-backup | 2.0.5-1 | groovy/universe  | source, amd64, arm64, armhf, ppc64el, riscv64, s390x
",None
unable use sudo apt update,"deb http://apt.postgresql.org/pub/repos/apt focal-pgdg main
",None
kernel versions work ubuntu,"Canonical adds ""Ubuntu""
Ubuntu kernel-release = 5.4.0-12.15-generic
    kernel version is 5.4, which is identical to upstream stable kernel version
    .0 is an obsolete parameter left over from older upstream kernel version naming practices
    -12 application binary interface (ABI) bump for this kernel
    .15 upload number for this kernel
    -generic is kernel flavour parameter, where -generic is the default Ubuntu kernel flavour
Mainline kernel-version = 5.4.8
",None
ubuntu package system power conflict nvidia prime,sudo apt remove nvidia-prime,None
ubuntu wsl possible run games like nsnake would install,"sudo add-apt-repository universe # If you already have a root prompt (#) you don't need to preface any commands with sudo.
sudo apt update  
sudo apt install nsnake
",None
find command associated installed deb file,"~$ dpkg -L procps | grep /usr/bin
/usr/bin
/usr/bin/free
/usr/bin/pgrep
/usr/bin/pmap
/usr/bin/pwdx
/usr/bin/skill
/usr/bin/slabtop
/usr/bin/tload
/usr/bin/top
/usr/bin/uptime
/usr/bin/vmstat
/usr/bin/w.procps
/usr/bin/watch
/usr/bin/pkill
/usr/bin/snice
",None
apt application work,"sudo apt-get install goldendict
",None
remove buggy ubuntu software center replaced snap store ubuntu,"sudo apt remove --purge gnome-software
sudo apt-mark hold gnome-software
",None
ubuntu apt update gives error wireguard,"sudo rm -f /etc/apt/sources.list.d/wireguard*
",None
dpkg erroring running commands,"sudo apt install --reinstall libavcodec58
",None
sudo apt get update shows following,"/etc/apt$ cat apt.conf

Acquire::http::proxy ""http://<proxy>"";
Acquire::https::proxy ""https://<proxy>"";
Acquire::ftp::proxy ""ftp://<proxy>"";
Acquire::socks::proxy ""socks:<proxy>"";
",None
update packages,sudo apt upgrade | grep error,None
check package availability across distribution update,apt -s,None
add user sudo group,"sudo usermod -aG sudo <username>
",sudo adduser <username> sudo
run application another user,"DocumentRoot /home/user/my-project/my-document-root
","xhost +SI:localuser:uname
gksudo -u uname -l ""firefox""
xhost -SI:localuser:uname
"
echo output top text file,"top -b -n1 > filename.txt
","user@ubuntu:~$ top > filename.txt
"
kill applications,system monitor,None
cancel currently applied remaining sudo time,sudo -k,None
avoid duplicate entries bash history,export HISTCONTROL=ignoreboth:erasedups,"export HISTCONTROL=ignoredups
"
ubuntu root user,"sudo passwd root
",None
error missing wallpaper remove unity sudo command,"sudo rm /etc/xdg/autostart/maximus-autostart.desktop 
sudo rm /etc/xdg/autostart/netbook-launcher.desktop 
sudo rm /usr/share/gconf/defaults/20_une-gconf-default 
sudo rm /usr/share/gconf/defaults/20_une-gconf-mandatory 
sudo update-gconf-defaults
",None
edit httpd conf file,"gksudo gedit /opt/lampp/etc/extra/httpd-vhosts.conf
",None
download whole ftp site using command line,"wget -r ftp://username:password@myserver.com
",None
file copy scp,Places > Connect to Server,None
wget downloads corrupt jpeg file,"wget -U ""Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Ubuntu/11.04 Chromium/11.0.654.0 Chrome/11.0.654.0 Safari/534.17"" http://static.die.net/earth/mercator/1600.jpg",None
execute script desktop loaded,"sh -c /home/andrei/andreiscripts/startup.sh >> /home/andrei/Desktop/out.txt 2>&1
",None
get wget output variable,"RESULT=""`wget -qO- http://example.com`""
echo $RESULT
","result=$(wget -qO- http://example.com)
echo ""$result""
"
determine whether shellscript runs root,"#!/bin/bash
if [[ $EUID -ne 0 ]]; then
   echo ""This script must be run as root"" 
   exit 1
fi
",None
detect another sudo process,top -u root,None
come sudo give root privileges user etc sudoers,"%admin ALL=(ALL) ALL
",None
make command history start counting,history -c,None
ddclient working without sudo,"ddclient -file <path>
",None
getting permission denied error wget,"sudo wget http://ftp.drupal.org/files/projects/drupal-7.x-dev.tar.gz
",None
environment variables run sudo,"sudo LD_LIBRARY_PATH=/opt/intel/mkl/lib/ia32:$LD_LIBRARY_PATH LD_PRELOAD=/opt/intel/mkl/lib/ia32/libmkl_core.so python -c ""import numpy""
","enzotib@host:~$ export DUMMY=dummy
enzotib@host:~$ sudo -E sh -c 'echo $DUMMY'
dummy
enzotib@host:~$ sudo -E env | grep DUMMY
DUMMY=dummy
"
trigger screensaver monitor,"sleep 1; xset dpms force off
","gnome-screensaver-command --activate
"
